Pos,Team,PTS,Year
7,Lotus Ford,22,1981 Constructor Standings
8,Arrows Ford,10,1981 Constructor Standings
9,Alfa Romeo,10,1981 Constructor Standings
10,Tyrrell Ford,10,1981 Constructor Standings
11,Ensign Ford,5,1981 Constructor Standings
12,Theodore Ford,1,1981 Constructor Standings
13,ATS Ford,1,1981 Constructor Standings
1,Ferrari,74,1982 Constructor Standings
2,McLaren Ford,69,1982 Constructor Standings
3,Renault,62,1982 Constructor Standings
4,Williams Ford,58,1982 Constructor Standings
5,Lotus Ford,30,1982 Constructor Standings
6,Tyrrell Ford,25,1982 Constructor Standings
7,Brabham BMW,22,1982 Constructor Standings
8,Ligier Matra,20,1982 Constructor Standings
9,Brabham Ford,19,1982 Constructor Standings
10,Alfa Romeo,7,1982 Constructor Standings
11,Arrows Ford,5,1982 Constructor Standings
12,ATS Ford,4,1982 Constructor Standings
13,Osella Ford,3,1982 Constructor Standings
14,Fittipaldi Ford,1,1982 Constructor Standings
1,Ferrari,89,1983 Constructor Standings
2,Renault,79,1983 Constructor Standings
3,Brabham BMW,72,1983 Constructor Standings
4,Williams Ford,36,1983 Constructor Standings
5,McLaren Ford,34,1983 Constructor Standings
6,Alfa Romeo,18,1983 Constructor Standings
7,Tyrrell Ford,12,1983 Constructor Standings
8,Lotus Renault,11,1983 Constructor Standings
9,Toleman Hart,10,1983 Constructor Standings
10,Arrows Ford,4,1983 Constructor Standings
11,Williams Honda,2,1983 Constructor Standings
12,Theodore Ford,1,1983 Constructor Standings
13,Lotus Ford,1,1983 Constructor Standings
1,McLaren TAG,143.5,1984 Constructor Standings
2,Ferrari,57.5,1984 Constructor Standings
3,Lotus Renault,47,1984 Constructor Standings
4,Brabham BMW,38,1984 Constructor Standings
5,Renault,34,1984 Constructor Standings
6,Williams Honda,25.5,1984 Constructor Standings
7,Toleman Hart,16,1984 Constructor Standings
8,Alfa Romeo,11,1984 Constructor Standings
9,Arrows BMW,3,1984 Constructor Standings
10,Ligier Renault,3,1984 Constructor Standings
11,Arrows Ford,3,1984 Constructor Standings
12,Osella Alfa Romeo,2,1984 Constructor Standings
1,McLaren TAG,90,1985 Constructor Standings
2,Ferrari,82,1985 Constructor Standings
3,Lotus Renault,71,1985 Constructor Standings
4,Williams Honda,71,1985 Constructor Standings
5,Brabham BMW,26,1985 Constructor Standings
6,Ligier Renault,23,1985 Constructor Standings
7,Renault,16,1985 Constructor Standings
8,Arrows BMW,14,1985 Constructor Standings
9,Tyrrell Ford,4,1985 Constructor Standings
10,Tyrrell Renault,3,1985 Constructor Standings
1,Williams Honda,141,1986 Constructor Standings
2,McLaren TAG,96,1986 Constructor Standings
3,Lotus Renault,58,1986 Constructor Standings
4,Ferrari,37,1986 Constructor Standings
5,Ligier Renault,29,1986 Constructor Standings
6,Benetton BMW,19,1986 Constructor Standings
7,Tyrrell Renault,11,1986 Constructor Standings
8,Lola Ford,6,1986 Constructor Standings
9,Brabham BMW,2,1986 Constructor Standings
10,Arrows BMW,1,1986 Constructor Standings
1,Williams Honda,137,1987 Constructor Standings
2,McLaren TAG,76,1987 Constructor Standings
3,Lotus Honda,64,1987 Constructor Standings
4,Ferrari,53,1987 Constructor Standings
5,Benetton Ford,28,1987 Constructor Standings
6,Tyrrell Ford,11,1987 Constructor Standings
7,Arrows Megatron,11,1987 Constructor Standings
8,Brabham BMW,10,1987 Constructor Standings
9,Lola Ford,3,1987 Constructor Standings
10,Zakspeed,2,1987 Constructor Standings
11,March Ford,1,1987 Constructor Standings
12,Ligier Megatron,1,1987 Constructor Standings
13,AGS Ford,1,1987 Constructor Standings
1,McLaren Honda,199,1988 Constructor Standings
2,Ferrari,65,1988 Constructor Standings
3,Benetton Ford,39,1988 Constructor Standings
4,Arrows Megatron,23,1988 Constructor Standings
5,Lotus Honda,23,1988 Constructor Standings
6,March Judd,22,1988 Constructor Standings
7,Williams Judd,20,1988 Constructor Standings
8,Tyrrell Ford,5,1988 Constructor Standings
9,Rial Ford,3,1988 Constructor Standings
10,Minardi Ford,1,1988 Constructor Standings
1,McLaren Honda,141,1989 Constructor Standings
2,Williams Renault,77,1989 Constructor Standings
3,Ferrari,59,1989 Constructor Standings
4,Benetton Ford,39,1989 Constructor Standings
5,Tyrrell Ford,16,1989 Constructor Standings
6,Lotus Judd,15,1989 Constructor Standings
7,Arrows Ford,13,1989 Constructor Standings
8,Dallara Ford,8,1989 Constructor Standings
9,Brabham Judd,8,1989 Constructor Standings
10,Onyx Ford,6,1989 Constructor Standings
11,Minardi Ford,6,1989 Constructor Standings
12,March Judd,4,1989 Constructor Standings
13,Rial Ford,3,1989 Constructor Standings
14,Ligier Ford,3,1989 Constructor Standings
15,AGS Ford,1,1989 Constructor Standings
16,Lola Lamborghini,1,1989 Constructor Standings
1,McLaren Honda,121,1990 Constructor Standings
2,Ferrari,110,1990 Constructor Standings
3,Benetton Ford,71,1990 Constructor Standings
4,Williams Renault,57,1990 Constructor Standings
5,Tyrrell Ford,16,1990 Constructor Standings
6,Lola Lamborghini,11,1990 Constructor Standings
7,Leyton House Judd,7,1990 Constructor Standings
8,Lotus Lamborghini,3,1990 Constructor Standings
9,Arrows Ford,2,1990 Constructor Standings
10,Brabham Judd,2,1990 Constructor Standings
1,McLaren Honda,139,1991 Constructor Standings
2,Williams Renault,125,1991 Constructor Standings
3,Ferrari,55.5,1991 Constructor Standings
4,Benetton Ford,38.5,1991 Constructor Standings
5,Jordan Ford,13,1991 Constructor Standings
6,Tyrrell Honda,12,1991 Constructor Standings
7,Minardi Ferrari,6,1991 Constructor Standings
8,Dallara Judd,5,1991 Constructor Standings
9,Lotus Judd,3,1991 Constructor Standings
10,Brabham Yamaha,3,1991 Constructor Standings
11,Lola Ford,2,1991 Constructor Standings
12,Leyton House Ilmor,1,1991 Constructor Standings
1,Williams Renault,164,1992 Constructor Standings
2,McLaren Honda,99,1992 Constructor Standings
3,Benetton Ford,91,1992 Constructor Standings
4,Ferrari,21,1992 Constructor Standings
5,Lotus Ford,13,1992 Constructor Standings
6,Tyrrell Ilmor,8,1992 Constructor Standings
7,Footwork Mugen Honda,6,1992 Constructor Standings
8,Ligier Renault,6,1992 Constructor Standings
9,March Ilmor,3,1992 Constructor Standings
10,Dallara Ferrari,2,1992 Constructor Standings
11,Jordan Yamaha,1,1992 Constructor Standings
12,Minardi Lamborghini,1,1992 Constructor Standings
13,Venturi Lamborghini,1,1992 Constructor Standings
1,Williams Renault,168,1993 Constructor Standings
2,McLaren Ford,84,1993 Constructor Standings
3,Benetton Ford,72,1993 Constructor Standings
4,Ferrari,28,1993 Constructor Standings
5,Ligier Renault,23,1993 Constructor Standings
6,Lotus Ford,12,1993 Constructor Standings
7,Sauber,12,1993 Constructor Standings
8,Minardi Ford,7,1993 Constructor Standings
9,Footwork Mugen Honda,4,1993 Constructor Standings
10,Larrousse Lamborghini,3,1993 Constructor Standings
11,Jordan Hart,3,1993 Constructor Standings
1,Williams Renault,118,1994 Constructor Standings
2,Benetton Ford,103,1994 Constructor Standings
3,Ferrari,71,1994 Constructor Standings
4,McLaren Peugeot,42,1994 Constructor Standings
5,Jordan Hart,28,1994 Constructor Standings
6,Ligier Renault,13,1994 Constructor Standings
7,Tyrrell Yamaha,13,1994 Constructor Standings
8,Sauber Mercedes,12,1994 Constructor Standings
9,Footwork Ford,9,1994 Constructor Standings
10,Minardi Ford,5,1994 Constructor Standings
11,Larrousse Ford,2,1994 Constructor Standings
1,Benetton Renault,137,1995 Constructor Standings
2,Williams Renault,112,1995 Constructor Standings
3,Ferrari,73,1995 Constructor Standings
4,McLaren Mercedes,30,1995 Constructor Standings
5,Ligier Mugen Honda,24,1995 Constructor Standings
6,Jordan Peugeot,21,1995 Constructor Standings
7,Sauber Ford,18,1995 Constructor Standings
8,Footwork Hart,5,1995 Constructor Standings
9,Tyrrell Yamaha,5,1995 Constructor Standings
10,Minardi Ford,1,1995 Constructor Standings
1,Williams Renault,175,1996 Constructor Standings
2,Ferrari,70,1996 Constructor Standings
3,Benetton Renault,68,1996 Constructor Standings
4,McLaren Mercedes,49,1996 Constructor Standings
5,Jordan Peugeot,22,1996 Constructor Standings
6,Ligier Mugen Honda,15,1996 Constructor Standings
7,Sauber Ford,11,1996 Constructor Standings
8,Tyrrell Yamaha,5,1996 Constructor Standings
9,Footwork Hart,1,1996 Constructor Standings
1,Williams Renault,123,1997 Constructor Standings
2,Ferrari,102,1997 Constructor Standings
3,Benetton Renault,67,1997 Constructor Standings
4,McLaren Mercedes,63,1997 Constructor Standings
5,Jordan Peugeot,33,1997 Constructor Standings
6,Prost Mugen Honda,21,1997 Constructor Standings
7,Sauber Petronas,16,1997 Constructor Standings
8,Arrows Yamaha,9,1997 Constructor Standings
